spotify_artist_name,spotify_artist_id,spotify_artist_followers,spotify_artist_genres
Gorillaz,3AA28KZvwAUcZuOKwyblJQ,13610000,
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,22783498,"funk rock,alternative rock,rock"
50 Cent,3q7HBObVc0L8jNeTe5Gofh,18111251,"east coast hip hop,old school hip hop"
Metallica,2ye2Wgw4gimLv2eAKyk1NB,31284867,"metal,thrash metal,rock,heavy metal,hard rock"
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,59276785,
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,10671115,"french house,electronic,electro"
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,30717265,"nu metal,rap metal,rock,alternative metal"
Radiohead,4Z8W4fKeB5YxbusRsdQVPb,12834452,"art rock,alternative rock"
AC/DC,711MCceyCBcFnzjGY4Q7Un,31634251,"rock,hard rock,classic rock,rock and roll"
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,9201021,
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,36276101,
P!nk,1KCSPY1glIKqW2TotWuXOR,18008408,
Eminem,7dGJo4pcD2V6oG8kP0tJRR,102204325,"rap,hip hop"
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,5231749,
Khalid,6LuN9FCkKOj5PcnpouEgny,16787566,
Shakira,0EmeFodog0BfCgMzAIvKQp,38709982,latin pop
mgk,6TIYQ3jFPwQSRmorSezPxX,5579011,
Nicky Jam,1SupJlEpv7RS2tPNRaHViT,20117129,"reggaeton,latin"
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,30226829,"classic rock,psychedelic rock"
Pitbull,0TnOYISbd1XYRBk9myaseg,11715037,
Sean Paul,3Isy6kedDrgPYoTS1dazA9,5187767,dancehall
Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,10767179,"rockabilly,rock and roll"
2Pac,1ZwdS5xdxEREPySFridCfh,21923739,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop"
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,15145162,"g-funk,west coast hip hop,gangster rap,hip hop,old school hip hop,rap"
Lil Wayne,55Aa2cqylxrFIXC767Z865,17392913,"rap,hip hop"
Sia,5WUlDfRSoLAfcVSX1WnrxN,30109857,
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,13466784,"classic rock,yacht rock,soft rock"
ABBA,0LcJLqbBmaGUft1e9Mm8HV,14428499,
Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,8183192,"christmas,big band,adult standards,swing music,vocal jazz,jazz"
Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,7889706,"edm,trance,big room,house,dance"
Elton John,3PhoLpVuITZKcymswpck5b,15130198,
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,10138796,"hip hop,east coast hip hop,rap"
21 Savage,1URnnhqYAYcrqrcwql10ft,23096946,
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,30392949,rap
Luis Miguel,2nszmSgqreHSdJA3zWPyrW,19721718,"mariachi,bolero,latin pop,villancicos"
Beyoncé,6vWDO969PvNqNYHIOW5v0m,40633830,
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,37336507,"reggaeton,latin"
Don Toliver,4Gso3d4CscCijv0lmajZWs,7024756,
Camilo,28gNT5KBp7IjEOQoevXf9N,20247799,"colombian pop,pop urbano"
Britney Spears,26dSoYclwsYLMAKD3tpOr4,17163653,pop
Farruko,329e4yvIujISKGKz1BZZbO,16746357,"reggaeton,trap latino"
Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,8696757,"reggaeton,urbano latino"
Disney,3xvaSlT4xsyk6lY1ESOspO,806198,
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,27152317,r&b
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,7971733,
Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,11590741,christmas
A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,66604022,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi"
Die drei ???,3meJIgRw7YleJrmbpbJK6S,1176006,
Pritam,1wRPtKGflJrBx9BmLsSwlU,54594057,"bollywood,hindi pop,desi"
Shreya Ghoshal,0oOet2f43PA68X5RxKobEy,31228158,"bollywood,hindi pop,desi,kannada pop,marathi pop,bangla pop"
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,22288643,"progressive rock,psychedelic rock,classic rock,art rock,rock"
System Of A Down,5eAWCfyUhZtHHtBdNk56l1,13342516,"nu metal,metal,alternative metal,rap metal,rock"
Green Day,7oPftvlwr6VrsViSDV7fJY,16905568,"punk,pop punk"
Ludovico Einaudi,2uFUBdaVGtyMqckSeCl0Qj,3896953,"neoclassical,classical"
Muse,12Chz98pHFMPJEknJQMWvI,8356211,"alternative rock,rock"
Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,15685368,"classic rock,rock"
Slipknot,05fG473iIaoy82BF1aGhL8,13575838,"nu metal,metal,alternative metal,rap metal,heavy metal"
Oasis,2DaxqgrOhkeH0fpeiQq2f4,11860037,"britpop,madchester"
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,15443912,"classic rock,rock"
Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,4627683,soundtrack
Deftones,6Ghvu1VvMGScGpOUJBAHNH,7229089,"nu metal,alternative metal,rap metal,shoegaze"
blink-182,6FBDaR13swtiWwGhX1WQsP,9120154,"pop punk,punk,rock,skate punk,emo"
Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,13232152,"reggae,roots reggae"
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,11546591,"glam rock,art rock"
Bon Jovi,58lV9VcRSjABbAbfWS6skp,15359610,"glam metal,rock"
Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,14614053,"old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap"
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,7734359,"classic rock,southern rock,country rock"
U2,51Blml2LZPmy7TTiAg47vQ,13388054,rock
Nate Dogg,1Oa0bMld0A3u5OTYfMzp5h,1797356,"g-funk,west coast hip hop,old school hip hop"
Juanes,0UWZUmn7sybxMCqrw9tGa7,5407146,"latin pop,colombian pop,rock en español"
Maná,7okwEbXzyT2VffBmyQBWLz,13125938,"rock en español,latin rock,mexican rock,latin pop"
Bee Gees,1LZEQNv7sE11VDY3SdxQeN,9064638,disco
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,7114961,soft rock
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,12375441,"old school hip hop,gangster rap,east coast hip hop,hip hop"
Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,11769884,"latin pop,latin"
Timbaland,5Y5TRrQiqgUO4S36tzjIRZ,3331664,
Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,8164412,latin pop
