genre,tracks,views_sum,views_mean,streams_sum,streams_mean,freq_z,views_z,score
acid jazz,10,218940890.0,21894089.0,714961220.0,71496122.0,-0.6959823632690603,-0.43193442196256576,-0.5903631867464625
acid rock,50,412231056.0,8412878.693877552,5561928969.0,111238579.38,-0.28329882613175633,-0.416570291406585,-0.3366074122416878
acoustic country,117,6790001864.0,62870387.62962963,17748733113.0,151698573.6153846,0.40794609857322783,0.09038205582371713,0.2809204814734235
acoustic pop,20,2360499469.0,118024973.45,4205669849.0,210283492.45,-0.5928114789847343,-0.2617075227780693,-0.46036989650206833
adult standards,80,763206257.0,9540078.2125,8192149315.0,103698092.59493671,0.026213826721221654,-0.38867218918199703,-0.13974057964006584
afro r&b,52,2648192814.0,50926784.884615384,3081688246.0,59263235.5,-0.26266464927489114,-0.2388395300387656,-0.25313460158044093
afro soul,20,162984323.0,8149216.15,102862794.0,5143139.7,-0.5928114789847343,-0.4363822633537956,-0.5302397927323588
afrobeat,70,4352016622.0,62171666.02857143,4999794501.0,71425635.72857143,-0.07695705756310434,-0.1034070247425559,-0.08753704443488497
afrobeats,89,4662480573.0,52387422.16853932,5364781303.0,60278441.60674157,0.11906762257711505,-0.07872905599328385,0.03994895114895548
afropiano,42,2663234058.0,63410334.71428572,2539136984.0,60455642.47619048,-0.3658355335592171,-0.23764394083046433,-0.314558896467716
afropop,62,3785785615.0,61061058.30645161,4029567892.0,64993030.51612903,-0.15949376499056514,-0.14841524888776378,-0.15506235854944458
afroswing,40,2183391067.0,54584776.675,2314063395.0,57851584.875,-0.3864697104160823,-0.2757854071691931,-0.3421959891173266
agronejo,158,5244510087.0,60281725.137931034,10901760638.0,70333939.6,0.8309467241389644,-0.032465049781348496,0.4855820145708392
alt country,10,197527798.0,19752779.8,1151168653.0,115116865.3,-0.6959823632690603,-0.4336364927295557,-0.5910440150532584
alternative dance,10,76055171.0,7605517.1,582030046.0,58203004.6,-0.6959823632690603,-0.4432920346478442,-0.5949062318205739
alternative hip hop,52,182431301.0,3508294.25,1771439684.0,34066147.76923077,-0.26266464927489114,-0.43483647385454455,-0.3315333791067525
alternative metal,239,25623647339.0,107211913.55230126,37682848996.0,158999362.85232067,1.6666308868420048,1.5874193542600785,1.6349462738092342
alternative r&b,19,558196260.0,29378750.52631579,1471766148.0,77461376.21052632,-0.6031285674131669,-0.40496789850012765,-0.5238642998479512
alternative rock,160,14836484055.0,92728025.34375,35356583412.0,226644765.46153846,0.8515809009958296,0.7299759133761905,0.8029389059479739
alté,9,224549840.0,24949982.222222224,600115190.0,66679465.55555555,-0.7062994516974929,-0.4314885811737386,-0.5963751034879912
amapiano,8,466130385.0,58266298.125,203074676.0,25384334.5,-0.7166165401259255,-0.41228597449190163,-0.5948843138723159
ambient,30,78321615.0,2610720.5,1212007579.0,40400252.63333333,-0.48964059470040827,-0.4431118809326582,-0.4710291091933082
ambient folk,10,46704304.0,4670430.4,784326002.0,78432600.2,-0.6959823632690603,-0.4456250584216415,-0.5958394413300928
americana,10,71140156.0,7114015.6,374167371.0,37416737.1,-0.6959823632690603,-0.4436827163555965,-0.5950625045036748
anatolian rock,40,939735073.0,23493376.825,1336330948.0,33408273.7,-0.3864697104160823,-0.3746403745685381,-0.3817379760770646
anime,110,7187907486.0,66554698.94444445,5811814963.0,52834681.481818184,0.3357264795741996,0.12201053466400494,0.2502401016101217
anti-folk,10,217537416.0,21753741.6,664349009.0,66434900.9,-0.6959823632690603,-0.4320459804459287,-0.5904078101398076
aor,70,2625772910.0,37511041.571428575,8982133548.0,128316193.54285714,-0.07695705756310434,-0.24062162966254344,-0.14242288640287998
arabesk,50,1653908507.0,33078170.14,1294575375.0,25891507.5,-0.28329882613175633,-0.31787259322373296,-0.297128332968547
argentine rock,178,5568732909.0,31461767.84745763,9725607579.0,58587997.46385542,1.0372884927076165,-0.006693424304879597,0.619695725902618
argentine trap,118,15917437168.0,137219285.93103448,14217385550.0,120486318.22033899,0.41826318700166043,0.8158980536315089,0.5773171336535998
arrocha,219,10918015807.0,77985827.19285715,16210061312.0,74358079.41284403,1.4602891182733528,0.4185071046539862,1.0435763128256061
art pop,66,6495391492.0,98415022.60606061,7802575955.0,150049537.59615386,-0.11822541127683474,0.06696424667064282,-0.044149548097843716
art rock,80,2696490982.0,33706137.275,8810429177.0,163156095.87037036,0.026213826721221654,-0.2350004347856388,-0.07827187788152254
axé,27,992886106.0,36773559.481481485,461634519.0,17097574.777777776,-0.5205918599857061,-0.3704155377488665,-0.46052133109097027
azonto,14,802973260.0,57355232.85714286,524827523.0,37487680.21428572,-0.6547140095553299,-0.385511213957256,-0.5470328913161003
bacardi,9,426408073.0,47378674.777777776,846602925.0,105825365.625,-0.7062994516974929,-0.4154433973457544,-0.5899570299567976
bachata,51,18096638427.0,361932768.54,10473252202.0,205357886.3137255,-0.27298173770332373,0.9891170711527293,0.2318577858390975
banda,559,33625857250.0,60369582.13644524,37032728555.0,67332233.73636363,4.968099183940437,2.223494123883728,3.8702571599177533
bangla pop,57,3800240647.0,70374826.7962963,1755263035.0,32504871.01851852,-0.21107920713272812,-0.14726625614056485,-0.18555402673586283
baroque pop,60,1287790191.0,21463169.85,6889851070.0,125270019.45454545,-0.18012794184743033,-0.3469743821163961,-0.24686651795501663
bass house,10,160641499.0,16064149.9,555055651.0,55505565.1,-0.6959823632690603,-0.4365684883157302,-0.5922168132877282
bebop,10,32084078.0,3208407.8,413724337.0,41372433.7,-0.6959823632690603,-0.4467871820085287,-0.5963042907648477
bedroom pop,90,1689903114.0,18776701.266666666,13050393702.0,145004374.46666667,0.12938471100554763,-0.3150114759061597,-0.04837376375913531
bhajan,76,12577815134.0,174691876.8611111,1662010303.0,21868556.61842105,-0.015054526992508742,0.5504402189168037,0.21114337137121625
bhangra,62,7771701298.0,125350020.93548387,2673819226.0,43126116.548387095,-0.15949376499056514,0.1684147803168421,-0.028330346867602232
bhojiwood,10,1485497672.0,148549767.2,29611668.0,2961166.8,-0.6959823632690603,-0.3312591307260171,-0.550093070251843
bhojpuri pop,10,1485497672.0,148549767.2,29611668.0,2961166.8,-0.6959823632690603,-0.3312591307260171,-0.550093070251843
big band,57,534119888.0,9370524.350877194,6243923467.0,111498633.33928572,-0.21107920713272812,-0.4068816664396842,-0.2894001908555106
big beat,20,693344172.0,34667208.6,1027479741.0,64217483.8125,-0.5928114789847343,-0.39422534388751385,-0.5133770249458461
big room,49,846859025.0,20655098.17073171,3745436861.0,79690145.9787234,-0.29361591456018893,-0.38202284909647416,-0.328978688374703
bluegrass,10,197527798.0,19752779.8,1151168653.0,115116865.3,-0.6959823632690603,-0.4336364927295557,-0.5910440150532584
blues,69,986507450.0,14297209.420289855,5288487318.0,77771872.3235294,-0.08727414599153693,-0.37092256045769734,-0.20073351177800108
blues rock,99,2298879133.0,23457950.336734693,10633121327.0,108501238.03061225,0.22223850686144103,-0.2666055623772872,0.026700879165949723
bolero,230,10412071800.0,46275874.666666664,14473991070.0,65493172.26244344,1.5737770909861113,0.37829093671110164,1.0955826292761073
bollywood,565,74967977538.0,138062573.73480663,18900134528.0,33630132.61209965,5.030001714511032,5.509671308737984,5.221869552201813
boom bap,55,883322271.0,16666457.943396226,1398061900.0,25419307.272727273,-0.23171338398959332,-0.3791244808885497,-0.29067782274917586
bossa nova,61,241607268.0,3960774.8852459015,1885419566.0,33077536.245614037,-0.16981085341899774,-0.43013273076414643,-0.2739396043570572
brazilian bass,12,595636453.0,49636371.083333336,1371461515.0,114288459.58333333,-0.6753481864121951,-0.4019918753262787,-0.5660056619778285
brazilian funk,82,4882166794.0,61027084.925,3489660033.0,43082222.62962963,0.046848003578086855,-0.0612667719534738,0.0036020933654625914
brazilian gospel,20,530938098.0,26546904.9,452009428.0,22600471.4,-0.5928114789847343,-0.40713457861816366,-0.518540718838106
brazilian hip hop,142,10427339255.0,75016829.17266187,7214107068.0,50803570.90140845,0.6658733092840428,0.3795045068410873,0.5513257883068605
brazilian jazz,43,107105713.0,2490830.534883721,1393611743.0,33181231.976190478,-0.3555184451307845,-0.44082390814666483,-0.38964063033713664
brazilian phonk,10,49293254.0,4929325.4,251778634.0,25177863.4,-0.6959823632690603,-0.44541926954667665,-0.5957571257801069
brazilian pop,167,5996478014.0,37713698.20125786,8552402938.0,52148798.40243903,0.9238005199948578,0.027306917119120668,0.5652030788445629
brazilian rock,109,2520368236.0,23122644.366972476,5094089312.0,48057446.33962264,0.325409391145767,-0.2489999719551699,0.09564564590539223
brazilian trap,117,7672091316.0,66713837.53043478,5772887627.0,49340919.88888889,0.40794609857322783,0.16049704295959397,0.3089664763277743
breakbeat,10,461543148.0,46154314.8,624159329.0,62415932.9,-0.6959823632690603,-0.41265060198236186,-0.5826496587543809
brega,65,3732900170.0,57429233.384615384,3237564525.0,49808685.0,-0.12854249970526732,-0.15261897481084638,-0.13817308974749895
britpop,50,1922658914.0,38453178.28,5853761393.0,139375271.26190478,-0.28329882613175633,-0.29651032516028186,-0.28858342574316653
brooklyn drill,28,2500489288.0,89303188.85714285,8587529705.0,306697489.46428573,-0.5102747715572735,-0.25058009762171596,-0.4063969019830505
c-pop,40,1603444369.0,41113958.179487176,1410914087.0,35272852.175,-0.3864697104160823,-0.3218838557761539,-0.3606353685601109
candombe,10,96659406.0,9665940.6,295398186.0,29539818.6,-0.6959823632690603,-0.4416542578116129,-0.5942511210860814
cantopop,20,773808609.0,38690430.45,739863014.0,36993150.7,-0.5928114789847343,-0.38782943590747987,-0.5108186617538326
canzone napoletana,27,367829110.0,13623300.370370371,484349691.0,17938877.444444444,-0.5205918599857061,-0.42009968614715143,-0.4803949904502843
ccm,88,3370068734.0,38296235.61363637,4894403517.0,62748763.038461536,0.10875053414868245,-0.18145949819535198,-0.007333478788931327
cedm,10,252404532.0,25240453.2,257284273.0,25728427.3,-0.6959823632690603,-0.42927448444372374,-0.5892992117389257
celtic,29,726552317.0,25053528.172413792,1358901404.0,52265438.615384616,-0.4999576831288409,-0.39158571515802154,-0.4566088959405132
celtic punk,10,318467097.0,31846709.7,581697503.0,58169750.3,-0.6959823632690603,-0.4240233436613056,-0.5871987554259585
celtic rock,20,859395207.0,42969760.35,1090898583.0,54544929.15,-0.5928114789847343,-0.3810263807250748,-0.5080974396808705
cha cha cha,9,368736150.0,40970683.333333336,365965185.0,40662798.333333336,-0.7062994516974929,-0.4200275879061085,-0.5917907061809391
chamber music,71,365316780.0,5218811.142857143,1582577501.0,22289823.95774648,-0.06663996913467174,-0.42029938469839434,-0.20810373536016077
chanson,29,1712871672.0,59064540.4137931,1533758686.0,52888230.551724136,-0.4999576831288409,-0.3131857652086241,-0.4252489159607542
chicago drill,37,1935507002.0,52311000.05405405,4211156047.0,116976556.8611111,-0.4174209757013801,-0.29548906419542387,-0.3686482110989976
chicha,20,1087140689.0,54357034.45,921674812.0,46083740.6,-0.5928114789847343,-0.3629234870735542,-0.5008562822202622
